Time      ,Source          ,Destination     ,Protocol ,Length ,Gap
54.444278 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0159539999999936
55.452629 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0083510000000047
56.459289 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0066599999999966
57.473456 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0141670000000005
58.479707 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.006250999999999
59.48944  ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0097330000000042
60.501326 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.011885999999997
61.507417 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0060909999999978
62.5259   ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0184830000000034
63.53153  ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0056299999999965
64.550374 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0188440000000085
23.274349 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,0.0
24.288921 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0145719999999976
25.307917 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0189960000000013
26.324551 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0166339999999998
27.332938 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.008386999999999
28.344936 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.011998000000002
29.363143 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0182070000000003
30.375265 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.012121999999998
31.389648 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0143830000000023
32.409493 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0198449999999966
33.4218   ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0123069999999998
34.433756 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.011956000000005
35.446891 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0131349999999983
36.456393 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0095019999999977
37.474571 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.018177999999999
38.490893 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0163220000000024
39.510286 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0193930000000009
40.5187   ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.008414000000002
41.538235 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0195349999999976
42.557419 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0191840000000028
43.566674 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.009254999999996
44.584274 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0176000000000016
45.591921 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0076469999999986
46.5994   ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0074790000000036
47.61765  ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0182499999999948
48.646036 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0283860000000047
49.655059 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0090229999999991
50.666087 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.011027999999996
51.669611 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0035240000000059
52.674602 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0049909999999969
53.694935 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0203330000000008
54.709261 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.014325999999997
55.720632 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.011371000000004
56.726051 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0054189999999963
57.739607 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0135560000000012
58.746745 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0071379999999976
59.753465 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0067200000000014
60.76851  ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0150450000000006
61.776326 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,   342 ,1.0078159999999983
50.622644 ,10.50.2.42      ,200.134.21.24   ,ICMP     ,   158 ,0.0
44.547402 ,10.50.2.42      ,200.134.21.24   ,ICMP     ,   182 ,0.0
64.266373 ,10.50.2.42      ,200.134.21.24   ,ICMP     ,   186 ,0.0
 0.654388 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.0
 1.671354 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.016966
 2.679488 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.008134
 3.691246 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.011758
 4.705383 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0141370000000003
 5.713375 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0079919999999998
 6.743965 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0305900000000001
 7.744417 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0004520000000001
 8.755102 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0106850000000005
 9.774132 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.019029999999999
10.78887  ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0147379999999995
11.806607 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0177370000000003
12.825965 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0193580000000004
13.839088 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0131230000000002
14.866563 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.027474999999999
15.874188 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0076250000000009
