Protocolo ,Origem          ,Destino         ,Tamanho Médio ,Tamanho Mínimo ,Tamanho Máximo ,Soma Tamanho ,Duração Fluxo          ,Média Intervalo        ,Intervalo Mínimo       ,Intervalo Máximo       ,Taxa Média bps
TCP       ,10.50.2.42      ,104.21.71.16    ,         74.0 ,            74 ,            74 ,        1480 ,2.502913999999997      ,0.12514569999999986    ,5.10000000062405e-05   ,1.8682159999999968     ,     4730.486145348987
TCP       ,10.50.2.42      ,104.21.71.16    ,         82.0 ,            82 ,            82 ,        1394 ,1.859172000000001      ,0.10936305882352947    ,2.800000000036107e-05  ,1.3358949999999936     ,     5998.369166489165
TCP       ,10.50.2.42      ,104.21.71.16    ,         90.0 ,            90 ,            90 ,         360 ,0.23863600000000673    ,0.05965900000000168    ,0.01060799999999773    ,0.21540100000000706    ,    12068.589818803193
TCP       ,10.50.2.42      ,104.21.71.16    ,       1454.0 ,          1454 ,          1454 ,        2908 ,4.124891000000005      ,2.0624455000000026     ,4.124891000000005      ,4.124891000000005      ,     5639.906606016976
TCP       ,10.50.2.42      ,104.26.11.240   ,         54.0 ,            54 ,            54 ,         108 ,0.015261999999999887   ,0.007630999999999943   ,0.015261999999999887   ,0.015261999999999887   ,    56611.191193815124
TCP       ,10.50.2.42      ,108.139.166.43  ,         54.0 ,            54 ,            54 ,         432 ,7.051752999999998      ,0.8814691249999997     ,0.00012100000000003774 ,4.870861999999995      ,      490.09090363771975
TCP       ,10.50.2.42      ,108.139.166.43  ,         66.0 ,            66 ,            66 ,         264 ,1.8032010000000014     ,0.45080025000000035    ,0.07927500000000265    ,1.5408550000000005     ,     1171.2504595993448
TCP       ,10.50.2.42      ,108.139.166.43  ,         74.0 ,            74 ,            74 ,         296 ,1.5307940000000002     ,0.38269850000000005    ,0.0008589999999983888  ,1.518107999999998      ,     1546.909642969596
TCP       ,10.50.2.42      ,108.139.166.43  ,         82.0 ,            82 ,            82 ,         738 ,1.5071749999999966     ,0.16746388888888852    ,0.00012500000000414957 ,1.4516539999999978     ,     3917.262428052491
TCP       ,10.50.2.42      ,108.139.166.43  ,         90.0 ,            90 ,            90 ,        2430 ,1.4956120000000013     ,0.05539303703703708    ,1.7000000006817118e-05 ,1.0121740000000017     ,    12998.023551562828
